gender;star1;star2;star3;read1;read2;math1;math2;school1;school2;school3;experience1;experience2;experience3;EndScore
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;5;643
female;small;NA;NA;487;NA;484;NA;urban;NA;NA;18;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;544;631;538;615;rural;rural;rural;9;13;22;643
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;16;NA
female;small;NA;NA;444;NA;474;NA;rural;NA;NA;4;NA;NA;NA
male;regular+aide;regular;NA;472;577;484;514;suburban;suburban;NA;29;4;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;530;523;502;550;rural;rural;rural;16;31;0;NA
male;small;small;small;487;557;512;536;rural;rural;rural;15;11;18;572
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;553;571;549;577;suburban;suburban;suburban;27;9;8;643
male;small;small;small;NA;NA;NA;NA;urban;urban;urban;19;12;2;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;NA;NA;486;NA;rural;rural;rural;10;26;17;NA
male;regular+aide;regular+aide;regular+aide;579;622;578;599;rural;rural;rural;17;9;9;639
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;1;NA
female;regular;regular;regular;482;533;465;520;suburban;suburban;suburban;11;4;7;572
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;595
female;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;18;NA;NA
female;NA;regular+aide;regular+aide;NA;568;NA;590;NA;rural;rural;NA;23;15;592
female;regular;regular;NA;629;650;529;632;urban;urban;NA;17;28;NA;NA
female;regular+aide;regular+aide;regular+aide;629;631;538;596;rural;rural;rural;21;14;9;672
male;regular+aide;NA;NA;459;NA;484;NA;inner-city;NA;NA;4;NA;NA;NA
male;small;small;small;487;544;515;528;rural;rural;rural;21;10;17;551
female;NA;regular;NA;NA;529;NA;510;NA;inner-city;NA;NA;2;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;13;619
female;regular+aide;regular+aide;regular+aide;521;582;557;639;urban;urban;urban;8;17;38;600
male;regular+aide;NA;NA;507;NA;529;NA;inner-city;NA;NA;27;NA;NA;NA
male;regular;small;small;492;562;505;550;rural;rural;rural;12;16;6;594
female;regular+aide;NA;NA;NA;NA;481;NA;rural;NA;NA;6;NA;NA;NA
female;small;small;small;524;564;529;552;rural;rural;rural;7;0;12;628
male;small;small;small;450;520;493;572;rural;rural;rural;15;11;18;NA
male;small;NA;NA;442;NA;463;NA;suburban;NA;NA;1;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;15;597
male;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;suburban;suburban;NA;12;18;NA
male;regular;regular;NA;558;637;538;593;suburban;suburban;NA;7;17;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;650
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;2;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;610
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;NA;563
female;regular;regular;NA;533;588;553;611;rural;rural;NA;2;12;NA;NA
male;small;small;NA;495;NA;535;NA;inner-city;inner-city;NA;32;4;NA;NA
female;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;11;NA;NA
male;regular+aide;regular+aide;regular+aide;519;631;532;659;rural;rural;rural;11;15;8;648
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;urban;NA;NA;15;639
male;small;small;small;488;579;488;546;inner-city;inner-city;inner-city;6;28;21;596
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;14;NA;NA
female;small;small;NA;571;588;578;674;rural;rural;NA;6;4;NA;NA
male;small;NA;NA;456;NA;479;NA;rural;NA;NA;15;NA;NA;NA
male;small;small;small;453;500;507;490;rural;rural;rural;11;18;10;NA
male;NA;regular;regular;NA;NA;NA;NA;NA;rural;rural;NA;17;12;635
female;regular;NA;NA;533;NA;515;NA;suburban;NA;NA;33;NA;NA;NA
female;small;small;NA;485;573;500;565;inner-city;inner-city;NA;6;14;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;604;643;584;648;suburban;suburban;suburban;20;19;13;628
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;24;641
male;regular;regular;regular;428;491;488;502;suburban;suburban;suburban;12;17;5;NA
male;NA;regular;regular;NA;554;NA;593;NA;rural;rural;NA;31;8;600
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;small;NA;514;NA;590;NA;rural;rural;NA;29;11;NA
male;NA;regular+aide;regular+aide;NA;588;NA;584;NA;rural;rural;NA;11;4;638
male;regular;regular;regular;469;544;477;550;rural;rural;rural;7;18;21;599
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular;regular;NA;552;NA;572;NA;suburban;suburban;NA;22;NA;567
male;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;rural;rural;NA;29;11;577
female;regular;regular;NA;468;554;515;531;suburban;suburban;NA;0;22;NA;NA
female;small;small;small;629;611;601;596;rural;rural;rural;2;14;16;648
male;NA;regular+aide;NA;NA;NA;NA;NA;NA;urban;NA;NA;20;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular+aide;regular+aide;NA;650;NA;596;NA;rural;rural;NA;20;9;638
female;regular+aide;regular+aide;regular+aide;604;631;562;596;rural;rural;rural;9;8;5;642
male;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;0;NA;NA;NA
male;regular;regular;NA;571;643;584;587;urban;urban;NA;11;15;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;629;618;676;659;rural;rural;rural;13;0;2;674
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;37;727
male;regular+aide;regular+aide;NA;NA;538;523;486;rural;rural;NA;11;2;NA;NA
female;regular+aide;regular+aide;regular+aide;553;584;538;540;rural;rural;rural;11;15;5;609
female;small;small;small;494;599;NA;572;rural;rural;rural;0;9;34;620
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;NA;NA;499;NA;495;NA;suburban;NA;NA;8;NA;NA;NA
male;regular+aide;regular;regular+aide;463;520;461;515;inner-city;inner-city;inner-city;36;10;30;551
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;651;604;553;632;suburban;suburban;suburban;21;4;18;613
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;19;660
female;small;small;small;524;562;505;545;rural;rural;rural;15;18;12;593
female;NA;regular;small;NA;584;NA;574;NA;rural;rural;NA;12;1;585
male;NA;regular;regular;NA;575;NA;536;NA;suburban;suburban;NA;3;14;561
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;6;570
female;regular;regular;regular;485;544;502;548;suburban;suburban;suburban;7;31;15;552
female;NA;small;small;NA;NA;NA;NA;NA;rural;rural;NA;14;10;631
male;regular;NA;NA;NA;NA;NA;NA;urban;NA;NA;5;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;NA;NA;511;NA;570;NA;suburban;NA;NA;14;NA;NA
female;small;NA;NA;495;NA;535;NA;rural;NA;NA;21;NA;NA;NA
female;NA;regular;NA;NA;518;NA;536;NA;inner-city;NA;NA;32;NA;NA
male;regular+aide;regular+aide;NA;495;503;523;530;rural;rural;NA;23;8;NA;NA
female;small;small;small;540;593;505;565;urban;urban;urban;12;16;9;607
female;regular+aide;regular+aide;regular+aide;527;593;526;535;rural;rural;rural;28;4;16;611
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;19;618
female;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;NA;NA
female;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;2;NA;NA;NA
male;small;small;small;492;545;542;577;inner-city;inner-city;inner-city;26;4;29;573
female;NA;small;small;NA;611;NA;596;NA;urban;urban;NA;14;29;608
male;regular;small;small;540;571;567;611;rural;rural;rural;8;0;2;631
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;503;560;542;603;rural;rural;rural;12;6;16;623
female;regular+aide;regular+aide;regular+aide;477;549;484;568;urban;urban;urban;0;12;31;570
male;small;small;small;NA;NA;NA;NA;rural;rural;rural;2;28;36;NA
male;regular+aide;regular+aide;regular+aide;629;669;592;674;rural;rural;rural;23;21;36;699
male;small;small;NA;NA;709;NA;596;inner-city;inner-city;NA;8;21;NA;NA
female;small;NA;NA;NA;NA;430;NA;rural;NA;NA;3;NA;NA;NA
female;regular;regular;NA;463;539;484;540;urban;urban;NA;5;8;NA;NA
female;NA;regular;NA;NA;560;NA;535;NA;suburban;NA;NA;12;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;small;NA;582;NA;574;NA;rural;rural;NA;31;0;583
male;regular+aide;regular+aide;regular+aide;651;637;553;626;rural;rural;rural;23;8;16;651
male;NA;regular;regular;NA;NA;NA;NA;NA;rural;rural;NA;13;17;591
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;NA;583
female;regular+aide;regular+aide;regular+aide;629;627;549;579;rural;rural;rural;6;1;2;644
male;regular+aide;regular;small;445;588;520;572;inner-city;inner-city;inner-city;24;24;9;579
female;regular+aide;NA;NA;536;NA;529;NA;rural;NA;NA;8;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;19;701
female;regular;regular;regular;590;650;545;607;rural;rural;rural;16;11;19;653
female;regular+aide;regular+aide;NA;465;535;441;477;inner-city;inner-city;NA;27;NA;NA;NA
female;NA;regular;NA;NA;593;NA;563;NA;rural;NA;NA;10;NA;NA
male;regular+aide;NA;NA;472;NA;493;NA;inner-city;NA;NA;7;NA;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;urban;NA;NA;13;634
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;579;NA;572;NA;suburban;suburban;suburban;4;4;7;619
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;629;611;567;556;suburban;suburban;suburban;9;15;6;630
male;NA;small;small;NA;591;NA;599;NA;inner-city;inner-city;NA;1;14;668
male;regular+aide;regular+aide;regular+aide;519;509;532;502;rural;rural;rural;15;8;16;552
male;regular+aide;regular+aide;regular+aide;604;643;562;626;suburban;suburban;suburban;27;9;8;659
female;regular;regular;regular;454;591;532;572;rural;rural;rural;0;9;8;606
female;small;small;small;466;552;520;526;urban;urban;urban;19;12;2;580
male;regular+aide;NA;NA;497;NA;535;NA;suburban;NA;NA;3;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;524;650;538;626;rural;rural;rural;0;16;1;636
male;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;4;NA;NA
female;regular+aide;regular+aide;small;590;650;557;607;suburban;suburban;suburban;20;12;15;669
male;regular;regular;NA;519;NA;532;NA;rural;rural;NA;4;18;NA;NA
female;regular;regular;regular;494;560;490;552;inner-city;inner-city;inner-city;4;7;25;596
female;regular+aide;regular+aide;regular+aide;472;569;486;554;rural;rural;rural;10;27;19;581
male;small;small;NA;466;521;488;NA;inner-city;inner-city;NA;13;8;NA;NA
male;NA;regular;NA;NA;627;NA;599;NA;suburban;NA;NA;7;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;19;NA
female;regular;regular;regular;503;560;538;554;suburban;suburban;suburban;7;3;14;558
male;regular;regular;regular;521;586;535;596;rural;rural;rural;9;10;22;632
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;0;563
female;regular+aide;regular+aide;regular+aide;558;622;562;626;rural;rural;rural;18;33;7;650
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;urban;NA;NA;7;NA
female;regular+aide;regular+aide;NA;590;NA;592;NA;rural;rural;NA;9;2;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;small;regular+aide;571;611;592;611;urban;urban;urban;3;22;36;602
male;regular;NA;NA;459;NA;502;NA;inner-city;NA;NA;4;NA;NA;NA
male;regular+aide;NA;NA;451;NA;507;NA;suburban;NA;NA;29;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;12;635
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;465;568;549;611;rural;rural;rural;2;22;10;595
male;NA;regular+aide;NA;NA;575;NA;607;NA;inner-city;NA;NA;13;NA;NA
male;regular+aide;regular+aide;regular+aide;442;502;502;565;rural;rural;rural;2;22;10;NA
female;regular+aide;regular+aide;regular+aide;516;593;545;584;suburban;suburban;suburban;4;19;19;595
male;regular+aide;NA;NA;454;NA;529;NA;rural;NA;NA;6;NA;NA;NA
male;regular;NA;NA;450;NA;451;NA;urban;NA;NA;5;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;22;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;small;NA;NA;NA;NA;NA;suburban;suburban;NA;12;3;561
female;regular;regular+aide;regular+aide;428;511;484;526;inner-city;inner-city;inner-city;0;31;18;559
female;regular;regular;regular;571;622;545;582;rural;rural;rural;0;20;28;655
male;small;small;small;482;557;538;626;rural;rural;rural;16;18;30;611
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;564;560;502;520;rural;rural;rural;17;9;9;587
female;regular;NA;NA;438;NA;486;NA;suburban;NA;NA;5;NA;NA;NA
female;NA;small;small;NA;566;NA;570;NA;inner-city;inner-city;NA;14;19;552
female;small;NA;NA;516;NA;572;NA;urban;NA;NA;15;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;462;557;542;565;rural;rural;rural;2;29;11;604
female;small;small;small;651;618;592;582;urban;urban;urban;18;12;19;658
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;604;669;592;632;suburban;suburban;suburban;29;12;6;670
female;regular;NA;NA;436;NA;488;NA;inner-city;NA;NA;25;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;459;532;461;512;inner-city;inner-city;inner-city;27;2;26;591
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;NA;468;512;532;528;rural;rural;NA;13;6;NA;NA
male;regular;regular;regular;651;618;601;659;inner-city;inner-city;inner-city;0;1;3;692
female;NA;regular+aide;NA;NA;544;NA;556;NA;suburban;NA;NA;10;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;14;636
male;NA;small;small;NA;637;NA;599;NA;suburban;suburban;NA;15;5;659
female;regular;small;NA;590;669;526;620;inner-city;inner-city;NA;1;21;NA;NA
female;NA;regular+aide;regular+aide;NA;622;NA;626;NA;urban;urban;NA;12;31;699
female;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;5;NA;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;20;NA
male;regular+aide;regular+aide;regular+aide;519;564;567;615;rural;rural;rural;12;6;16;644
female;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;10;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular+aide;NA;NA;573;NA;570;NA;rural;NA;NA;16;NA;NA
female;regular;regular;small;527;684;532;572;inner-city;inner-city;inner-city;11;11;11;648
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;18;570
female;regular;regular;regular;564;650;526;596;urban;urban;urban;17;28;1;651
male;regular;NA;NA;490;NA;468;NA;rural;NA;NA;2;NA;NA;NA
male;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;3;NA;NA;NA
male;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;18;NA;NA
male;NA;regular+aide;NA;NA;509;NA;579;NA;inner-city;NA;NA;9;NA;NA
male;regular+aide;regular+aide;regular+aide;558;591;601;639;rural;rural;rural;11;15;5;667
male;regular+aide;NA;NA;426;NA;507;NA;suburban;NA;NA;2;NA;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;7;611
male;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;1;NA;NA
female;regular;NA;NA;442;NA;481;NA;rural;NA;NA;0;NA;NA;NA
female;regular;regular;NA;448;544;578;568;suburban;suburban;NA;0;22;NA;NA
male;regular;NA;NA;474;NA;481;NA;rural;NA;NA;13;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;15;NA
female;regular+aide;regular+aide;NA;540;611;523;587;urban;urban;NA;7;12;NA;NA
female;regular+aide;regular+aide;regular+aide;629;659;612;699;urban;urban;urban;10;17;38;661
male;regular;regular;regular;519;611;512;574;rural;rural;rural;9;13;15;658
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;18;596
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;26;602
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;553;614;601;659;rural;rural;rural;9;23;15;673
male;regular+aide;NA;NA;457;NA;468;NA;suburban;NA;NA;20;NA;NA;NA
male;regular;regular;regular;564;562;526;494;suburban;suburban;suburban;0;8;22;583
female;regular;NA;NA;445;NA;439;NA;rural;NA;NA;2;NA;NA;NA
male;regular;NA;NA;451;NA;468;NA;suburban;NA;NA;5;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;10;NA
male;regular+aide;small;small;474;571;422;504;suburban;suburban;suburban;19;25;21;559
male;small;small;small;533;650;567;639;rural;rural;rural;8;33;2;671
female;small;small;small;483;557;510;563;inner-city;inner-city;inner-city;21;5;2;590
female;regular;regular;regular;NA;550;532;563;rural;rural;rural;4;19;22;586
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;3;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;15;583
female;regular;regular;regular;501;591;495;563;suburban;suburban;suburban;19;19;24;614
female;regular;small;small;571;637;612;620;urban;urban;urban;3;22;0;683
female;regular;regular;NA;507;575;523;584;inner-city;inner-city;NA;32;0;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;495;545;512;596;rural;rural;rural;17;9;9;618
female;regular+aide;regular+aide;regular+aide;468;544;493;548;inner-city;inner-city;inner-city;31;14;33;580
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;579;577;505;590;rural;rural;rural;20;18;17;591
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;490;536;584;607;rural;rural;rural;11;2;15;622
female;NA;regular;regular;NA;559;NA;552;NA;suburban;suburban;NA;10;4;604
male;small;small;small;548;568;572;615;rural;rural;rural;8;20;20;619
female;regular+aide;regular+aide;regular+aide;544;611;584;620;rural;rural;rural;10;13;30;642
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular;regular;NA;618;NA;599;NA;rural;rural;NA;15;9;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;14;660
male;NA;small;NA;NA;569;NA;620;NA;suburban;NA;NA;12;NA;NA
male;small;small;small;533;618;553;615;rural;rural;rural;5;0;15;656
male;small;small;regular+aide;519;584;572;582;rural;rural;rural;12;6;10;630
male;regular+aide;regular+aide;regular+aide;553;643;612;611;rural;rural;rural;28;4;16;669
male;small;NA;NA;482;NA;526;NA;urban;NA;NA;27;NA;NA;NA
female;small;small;small;579;596;518;579;urban;urban;urban;27;12;19;617
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;5;NA
male;regular+aide;NA;regular+aide;501;NA;500;NA;inner-city;NA;inner-city;35;NA;18;604
female;regular+aide;regular+aide;regular+aide;456;549;507;528;suburban;suburban;suburban;4;28;NA;594
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;13;571
male;regular+aide;regular+aide;regular+aide;516;566;512;574;rural;rural;rural;21;14;9;599
male;small;NA;NA;579;NA;584;NA;urban;NA;NA;20;NA;NA;NA
female;small;NA;NA;651;NA;567;NA;rural;NA;NA;26;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;18;NA;NA
male;regular+aide;regular+aide;regular+aide;480;554;512;570;rural;rural;rural;31;1;12;572
female;NA;NA;small;NA;NA;NA;NA;NA;NA;urban;NA;NA;9;629
female;regular+aide;small;small;471;559;572;563;suburban;suburban;suburban;2;2;3;575
female;regular+aide;regular+aide;NA;487;515;538;526;rural;rural;NA;9;8;NA;NA
female;small;small;NA;604;627;572;596;suburban;suburban;NA;20;15;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;521;593;507;579;rural;rural;rural;13;18;13;617
male;regular+aide;NA;NA;604;NA;584;NA;rural;NA;NA;9;NA;NA;NA
female;regular+aide;NA;NA;579;NA;523;NA;urban;NA;NA;22;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;NA;NA;559;NA;538;NA;suburban;NA;NA;3;NA;NA
male;regular+aide;NA;NA;465;NA;538;NA;suburban;NA;NA;4;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;629;709;572;639;rural;rural;rural;18;33;7;683
female;regular;regular;regular+aide;521;566;490;502;rural;rural;rural;12;2;0;572
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular;regular;NA;533;NA;593;NA;rural;rural;NA;12;3;572
male;NA;regular+aide;regular+aide;NA;586;NA;582;NA;rural;rural;NA;15;8;623
female;regular+aide;regular+aide;regular+aide;NA;524;NA;510;inner-city;inner-city;inner-city;27;2;26;574
male;regular+aide;regular+aide;regular+aide;487;575;520;559;suburban;suburban;suburban;4;28;NA;610
male;regular+aide;regular+aide;regular+aide;516;596;578;603;rural;rural;rural;11;15;5;600
female;NA;regular;NA;NA;521;NA;552;NA;suburban;NA;NA;23;NA;NA
male;NA;regular;NA;NA;593;NA;557;NA;suburban;NA;NA;13;NA;NA
male;NA;regular+aide;regular+aide;NA;557;NA;593;NA;inner-city;inner-city;NA;10;0;602
female;NA;regular+aide;regular+aide;NA;599;NA;574;NA;suburban;suburban;NA;12;6;NA
female;NA;regular;NA;NA;614;NA;559;NA;suburban;NA;NA;14;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;NA;NA;530;NA;479;NA;suburban;NA;NA;21;NA;NA;NA
female;small;small;small;579;627;653;574;rural;rural;rural;9;0;7;612
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;4;608
male;small;small;small;590;627;518;607;suburban;suburban;suburban;3;4;13;662
male;small;small;small;548;599;592;615;suburban;suburban;suburban;9;9;6;664
female;regular+aide;NA;NA;571;NA;557;NA;rural;NA;NA;9;NA;NA;NA
female;small;regular;NA;629;577;584;584;suburban;suburban;NA;12;13;NA;NA
male;small;NA;NA;NA;NA;515;NA;urban;NA;NA;15;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;18;NA;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;20;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;20;547
female;NA;small;small;NA;NA;NA;NA;NA;rural;rural;NA;14;16;575
female;regular;regular+aide;small;483;573;488;570;inner-city;inner-city;inner-city;5;35;9;605
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;urban;NA;NA;36;630
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;15;645
female;small;small;small;579;622;612;659;urban;urban;urban;15;14;36;705
female;NA;regular+aide;NA;NA;591;NA;587;NA;rural;NA;NA;6;NA;NA
female;regular;regular;regular;509;608;526;582;suburban;suburban;suburban;2;22;26;649
male;regular+aide;regular+aide;regular+aide;519;538;523;556;suburban;suburban;suburban;6;21;32;586
female;regular;regular;regular+aide;480;575;493;550;inner-city;inner-city;inner-city;5;1;23;606
female;NA;regular;NA;NA;502;NA;502;NA;inner-city;NA;NA;9;NA;NA
male;NA;regular;regular;NA;523;NA;512;NA;suburban;suburban;NA;8;22;NA
female;NA;small;small;NA;586;NA;674;NA;rural;rural;NA;29;11;640
female;regular;regular+aide;NA;NA;524;NA;471;rural;rural;NA;3;23;NA;NA
male;small;small;small;497;573;510;563;rural;rural;rural;14;6;2;559
female;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;18;NA;NA
male;NA;small;small;NA;622;NA;590;NA;rural;rural;NA;17;19;607
male;small;small;small;651;684;612;626;rural;rural;rural;7;0;12;669
male;NA;regular;regular;NA;509;NA;533;NA;rural;rural;NA;13;22;NA
male;small;small;small;579;591;553;561;rural;rural;rural;17;17;13;644
male;regular;regular;regular;579;659;601;639;inner-city;inner-city;inner-city;32;0;0;650
female;regular+aide;regular+aide;regular+aide;503;588;507;596;rural;rural;rural;13;16;10;609
